date,tweet_id,text,year,text_preprocessed,vader,subjectivity
2014-12-31 21:46:43+00:00,5.5e+17,"@Barakatswhore I got brow gel, gimme brow, Nars blush stick and bronzer, kat Von d eyeshadow pallet, and a couple lip crayons from bite 😍",2014,got brow gel gI amme brow   stick bronzer kat Von eyeshadow pallet couple lip crayons bite 😍,0.4588,0.0
2014-12-31 08:29:37+00:00,5.5e+17,"You know your boyfriend is the best when he buys you urban decay eyeliner, Nars highlighter/blush, and mascara by too faced 💕😘",2014,know boyfriend best buys urban decay eyeliner  highlighter mascara faced 💕😘,0.8625,0.15
2014-12-31 00:16:59+00:00,5.5e+17,Nars super orgasm blush is needed. Orgasm does nothing for me.. #makeup,2014,super orgasm  needed Orgasm nothing me makeup,0.5994,0.6666666666666666
2014-12-30 21:46:46+00:00,5.5e+17,"I'm obsessed with the orgasm blush by NARS, it's perfection 😍😍😍",2014,obsessed orgasm   perfection 😍😍😍,0.9001,1.0
2014-12-30 06:46:38+00:00,5.5e+17,I've noticed my @HourglassMakeup blush lasts longer &amp; more vibrant than my NARS blushes.. The blush palette was money well spent!,2014,noticed  lasts longer  vibrant  es  palette money well spent!,0.6996,0.21666666666666667
2014-12-29 17:31:49+00:00,5.5e+17,"@Jaclynhill I never liked cool tones until recently. I love Nars Never Say Never lip pencil and Mata Hari blush. Also, UD Rapture lipstick.",2014,never liked cool tones recently love  Never Say Never lip pencil Mata Hari  Also UD Rapture lipstick,0.3624,0.6833333333333335
2014-12-28 19:51:27+00:00,5.49e+17,In la la la love with my NARS lipstick and orgasm blush 😍😍,2014,la la la love  lipstick orgasm  😍😍,0.8807,0.6
2014-12-28 14:05:21+00:00,5.49e+17,I honestly don't know how I made up my face without this Nars Roman Holiday blush. Oh life! J,2014,honestly know made face without  Roman Holiday  Oh life! J,0.2579,0.9
2014-12-28 05:48:42+00:00,5.49e+17,@8Smileys I love Nars Orgasm blush so I think I may try the bronzer as well! I like their products!,2014,love  Orgasm  think may try bronzer well! like products!,0.855,0.6
2014-12-27 23:43:06+00:00,5.49e+17,@Woahitsyazzy nars- orgasm… favorite blush 👌,2014,orgasm… favorite  👌,0.8455,1.0
2014-12-27 08:23:37+00:00,5.49e+17,@pettankogirl i dont like nars blush in general laughs...,2014,dont like   general laughs,-0.5773,0.5
2014-12-26 22:55:09+00:00,5.49e+17,@roartons I really love UD Naked Flushed in Native and NARS blush in Desire for bright pinks,2014,really love UD Naked Flushed NatI   Desire bright pinks,0.8777,0.6
2014-12-26 03:25:35+00:00,5.48e+17,My sister got me a sephora gift card so hello NARS blush,2014,sister got sephora gift card hello,0.4404,0.0
2014-12-25 17:58:22+00:00,5.48e+17,"Why is the Nars orgasm blush so hyped up? 
The name?? Idk",2014,orgasm  hyped up name Idk,-0.1027,0.0
2014-12-25 13:25:52+00:00,5.48e+17,My moM ALSO got me Nars blush in orgasm aka the shade I had been dreaming of since forever,2014,moM ALSO got   orgasm aka shade dreaming since forever,0.0,0.0
2014-12-25 07:42:31+00:00,5.48e+17,Marycruz got me mac makeup brushes and nars blush she's my hero,2014,Marycruz got mac makeup brushes   hero,0.5574,0.0
2014-12-25 04:06:45+00:00,5.48e+17,nars blush names are so raunchy 😂,2014,names raunchy 😂,0.4404,1.0
2014-12-24 16:46:06+00:00,5.48e+17,"@xoGiaxo_ Never tried Nars for foundation, I should get some samples. I can say their blush is UNDEFEATED.",2014,Never tried  foundation get samples say  UNDEFEATED,0.0,0.0
2014-12-24 00:04:54+00:00,5.48e+17,"@boudoirblogging Hourglass Mood Exposure, any blush from NARS or cream ones from Bobbi Brown :) or Burberry ones!",2014,Hourglass Mood Exposure   cream ones Bobbi Brown  Burberry ones!,0.0,0.0
2014-12-23 20:56:08+00:00,5.47e+17,@breanjelique I heard their blush is good. I would get it. But I personally love the NARS blush.,2014,heard  good would get it personally love,0.7964,0.6000000000000001
2014-12-23 07:57:47+00:00,5.47e+17,"I really have been obsessing over the the Nars ""Luster"" blush 😒 #iwant",2014,"really obsessing  ""Luster""  😒 iwant",-0.4005,0.2
2014-12-23 07:18:45+00:00,5.47e+17,The award winning NARS Orgasm blush is in my hands.... 😍,2014,award winning  Orgasm  hands 😍,0.872,0.75
2014-12-23 04:33:04+00:00,5.47e+17,@hanabisul ps is it bad that I thought of you when I saw the nars blush in the shade deep throat,2014,ps bad thought saw   shade deep throat,-0.5423,0.5333333333333333
2014-12-23 00:46:06+00:00,5.47e+17,You're wrong if you think that Nars blush isn't the best.,2014,wrong think   best,0.2732,0.6
2014-12-22 18:33:02+00:00,5.47e+17,I need a cheap dupe for Nars orgasm blush like $40 for a little blush pan I can't afford that,2014,need cheap dupe  orgasm  like  little  pan cannot afford,0.0,0.6
